lon,lat,alt
119.579901,32.3995048,10.93990165
119.5798967,32.39948457,10.92433983
119.5798981,32.39947165,10.92923704
119.5799138,32.39944837,10.86947405
119.5799291,32.39945172,10.77187926
119.5799349,32.39944409,10.70298978
119.5799377,32.39943806,10.66044239
119.5799378,32.39942674,10.61935529
119.5799387,32.39941581,10.57282064
119.5799383,32.39940487,10.53654975
119.5799383,32.39939392,10.49680582
119.5799393,32.39938458,10.45602598
119.5799417,32.39936409,10.36137771
119.5799446,32.39935226,10.29725914
119.5799485,32.39934041,10.22607499
119.5799587,32.39933218,10.12256893
119.5799737,32.39932266,9.97936152
119.5799864,32.39930902,9.839536755
119.5799967,32.39929741,9.724200628
119.5800036,32.39927548,9.599517068
119.5800071,32.39926634,9.541280611
119.5800155,32.39925946,9.456020703
119.5800209,32.39925391,9.396692744
119.5800293,32.39924716,9.311647214
119.5800353,32.39924249,9.251777464
119.5800412,32.39923409,9.178238931
119.5800546,32.39921617,9.016542925
119.5800711,32.39921315,8.886599714
119.5800755,32.39920293,8.818073461
119.580083,32.39918924,8.714387888
119.5800836,32.39917718,8.666692436
119.5800737,32.39917454,8.727529243
119.5800673,32.39916203,8.728672203
119.5800546,32.39915014,8.776644948
119.5800483,32.39914517,8.804726616
119.5800421,32.39914121,8.834993126
119.5800367,32.39913375,8.846790058
119.5800234,32.39912802,8.921550888
119.5800155,32.39911031,8.914578903
119.5800155,32.39910074,8.879695479
119.5800097,32.39908208,8.853981587
119.5800121,32.39907503,8.810780456
119.5800121,32.39906383,8.770103982
119.5800224,32.39904886,8.641815194
119.5800307,32.3990401,8.550113416
119.580041,32.39903345,8.57600995
119.5800592,32.39902847,8.597367273
119.5800724,32.39902432,8.613631158
119.5800895,32.39901438,8.678758719
119.5801002,32.39900777,8.722879119
119.5801099,32.39899664,8.807010771
119.5801165,32.39897774,8.960849632
119.5801149,32.39896791,9.04764768
119.580102,32.39894713,9.242987958
119.5800883,32.39893944,9.326130921
119.5800824,32.39892891,9.424378234
119.5800808,32.39891758,9.524169838
119.5800803,32.3989067,9.619009445
119.5800783,32.39889557,9.717654267
119.5800794,32.39887042,9.803327364
119.5800881,32.39885528,9.765525421
119.5800987,32.39884792,9.739332428
119.5801176,32.3988385,9.699530532
119.5801282,32.39883235,9.675542489
119.5801413,32.39882783,9.651639205
119.5801587,32.39881962,9.615743045
119.5801743,32.39880483,9.570117988
119.5801704,32.39879251,9.552222244
119.580167,32.39878717,9.546522663
119.5801569,32.39877979,9.545201529
119.5801429,32.39876706,9.538762002
119.5801235,32.39875598,9.541729418
119.5801163,32.39874036,9.521883182
119.5801163,32.39873336,9.509093289
119.5801182,32.39871936,9.481166392
119.5801134,32.39870582,9.46185889
119.5801269,32.39869926,9.433226833
119.5801318,32.39869516,9.419719978
119.5801541,32.39869147,9.385844312
119.5801764,32.39868819,9.352704645
119.5801841,32.39868408,9.335644951
119.5802062,32.39866006,9.258262733
119.5802087,32.39865594,9.247939605
119.5802097,32.39864564,9.228324595
119.5802092,32.39863863,9.216375948
119.5802068,32.39862998,9.203798514
119.5802024,32.3986238,9.197987089
119.5801966,32.39862009,9.198372245
119.5801932,32.39861019,9.184712534
119.5801913,32.39859988,9.168544416
119.5801864,32.39858998,9.156639569
119.580185,32.39858214,9.144320888
119.5801835,32.39856436,9.101672476
119.5801855,32.39855067,9.05238168
119.5801919,32.39854818,9.044045211
119.5802031,32.3985432,9.026297805
119.5802182,32.3985403,9.01594271
119.5802308,32.39853864,9.010025261
